;4000;6000;9000;12000;15000;30000;60000
0 - 125,000 ;0,86;0,79;0,73;0,66;0,6;0,45;0,3
125,000.01 - 150,000 ;0,86;0,79;0,73;0,66;0,6;0,45;0,3
150,000.01 - 175,000 ;0,86;0,79;0,73;0,66;0,6;0,45;0,3
175,000.01 - 200,000 ;0,86;0,79;0,73;0,66;0,6;0,45;0,3
200,000.01 - 225,000 ;0,86;0,79;0,73;0,66;0,6;0,45;0,3
225,000.01 - 250,000 ;0,86;0,79;0,73;0,66;0,6;0,45;0,3
250,000.01 - 275,000 ;0,86;0,79;0,73;0,66;0,6;0,45;0,3
275,000.01 - 300,000 ;0,86;0,79;0,73;0,66;0,6;0,45;0,3
300,000.01 - 325,000 ;0,86;0,79;0,73;0,66;0,6;0,45;0,3
325,000.01 - 350,000 ;0,88;0,82;0,76;0,69;0,62;0,5;0,33
350,000.01 - 375,000 ;0,88;0,82;0,76;0,69;0,62;0,5;0,33
375,000.01 - 400,000 ;0,88;0,82;0,76;0,71;0,65;0,5;0,35
400,000.01 - 425,000 ;0,88;0,82;0,76;0,71;0,65;0,5;0,35
425,000.01 - 450,000 ;0,89;0,83;0,77;0,73;0,67;0,52;0,37
450,000.01 - 475,000 ;0,89;0,83;0,77;0,73;0,67;0,52;0,37
475,000.01 - 500,000 ;0,89;0,84;0,77;0,74;0,69;0,55;0,38
500,000.01 - 525,000 ;0,89;0,84;0,77;0,74;0,69;0,55;0,38
525,000.01 - 550,000 ;0,89;0,85;0,78;0,75;0,71;0,6;0,4
550,000.01 - 575,000 ;0,89;0,85;0,78;0,75;0,71;0,6;0,4
575,000.01 - 600,000 ;0,9;0,86;0,79;0,76;0,73;0,66;0,45
600,000.01 - 625,000 ;0,9;0,86;0,79;0,76;0,73;0,66;0,45
625,000.01 - 687,500 ;0,91;0,86;0,81;0,78;0,76;0,67;0,5
687,500.01 - 750,000 ;0,91;0,86;0,81;0,78;0,76;0,67;0,5
750,000.01 - 812,500 ;0,91;0,87;0,83;0,8;0,77;0,68;0,55
812,500.01 - 875,000 ;0,91;0,87;0,83;0,8;0,77;0,68;0,55
875,000.01 - 937,500 ;0,91;0,88;0,85;0,82;0,79;0,7;0,6
937,500.01 - 1,000,000 ;0,91;0,88;0,85;0,82;0,79;0,7;0,6
1,000,000.01 - 1,125,000 ;0,92;0,89;0,86;0,84;0,82;0,75;0,63
1,125,000.01 - 1,250,000 ;0,92;0,89;0,86;0,84;0,82;0,75;0,63
1,250,000.01 - 1,375,000 ;0,92;0,89;0,86;0,84;0,82;0,75;0,63
1,375,000.01 - 1,500,000 ;0,92;0,89;0,86;0,84;0,82;0,75;0,63
1,500,000.01 - 1,625,000 ;0,92;0,89;0,86;0,84;0,82;0,75;0,63
1,625,000.01 - 1,750,000 ;0,92;0,89;0,86;0,84;0,82;0,75;0,63
1,750,000.01 - 1,875,000 ;0,92;0,89;0,86;0,84;0,82;0,75;0,63
1,875,000.01 - 2,000,000 ;0,92;0,89;0,86;0,84;0,82;0,75;0,63
2,000,000.01 - 2,500,000 ;0,92;0,89;0,86;0,84;0,82;0,75;0,63
